0,-1.0076,-0.054416,0.099437,-28.442,-43.071,-0.13565,60.955,0.078129,-0.0022441,0.0017897,0,-0.0006795,-0.028715,0.068967,65.895,-45.316,-2.5659,18.925,-0.0014401,-0.017027,0.00852,0
0.021,-1.2503,-0.068809,0.15769,-2.5396,4.8549,-2.4577,72.91,0.13017,-0.003845,0.0068783,0.004075,-0.015878,-0.041777,0.10848,3.1906,-0.10791,-0.40063,28.995,-0.00015634,-0.025792,0.0041574,0.0025399
0.041,-1.4316,-0.078563,0.20695,-2.5396,4.8549,-2.4577,83.306,0.15377,-0.0050279,0.01394,0.0085256,-0.029695,-0.054707,0.15695,3.1906,-0.10791,-0.40063,38.557,0.0028356,-0.027723,-0.0073693,0.0051259
0.062,-1.5374,-0.081638,0.23548,-2.5396,4.8549,-2.4577,91.57,0.1648,-0.0064925,0.021372,0.013511,-0.03705,-0.066341,0.21303,3.1906,-0.10791,-0.40063,46.944,0.0058985,-0.028378,-0.01733,0.0077627
0.082,-1.5697,-0.077587,0.23492,-2.5396,4.8549,-2.4577,97.422,0.1807,-0.0086361,0.028722,0.018651,-0.033686,-0.075574,0.27356,3.1906,-0.10791,-0.40063,53.628,0.008762,-0.031842,-0.022247,0.010418
0.108,-1.5446,-0.067972,0.20304,-2.5396,4.8549,-2.4577,100.88,0.19546,-0.010979,0.036023,0.025088,-0.016733,-0.081752,0.33423,3.1906,-0.10791,-0.40063,58.268,0.01245,-0.035825,-0.025259,0.013178
0.128,-1.4858,-0.056236,0.14543,-2.5396,4.8549,-2.4577,102.21,0.20061,-0.013168,0.042571,0.030588,0.013325,-0.0844,0.39066,3.3892,0.26168,-0.40063,60.78,0.017246,-0.038185,-0.027549,0.015801
0.16,-1.4179,-0.046888,0.074968,-2.5396,4.8549,-2.4577,101.83,0.20269,-0.015459,0.047349,0.038579,0.053617,-0.083092,0.4385,3.5879,0.63127,-0.40063,61.313,0.022925,-0.040584,-0.02681,0.018608
0.18,-1.3578,-0.043649,0.0090978,-2.5396,4.8549,-2.4577,100.21,0.20872,-0.017999,0.050111,0.044222,0.096502,-0.078467,0.47559,3.613,1.0079,0.1446,60.21,0.030003,-0.044026,-0.023073,0.021038
0.212,-1.3113,-0.048291,-0.034801,-2.5396,4.8549,-2.4577,97.761,0.21533,-0.020602,0.051386,0.052475,0.13205,-0.072027,0.50204,3.6381,1.3845,0.68984,57.964,0.03872,-0.04688,-0.019068,0.023567
0.232,-1.2728,-0.058604,-0.04446,-2.5396,4.8549,-2.4577,94.769,0.21989,-0.023369,0.051882,0.058231,0.1507,-0.065443,0.52018,3.6381,1.3845,0.68984,55.095,0.048021,-0.048485,-0.015487,0.025682
0.258,-1.2303,-0.068618,-0.017306,-2.5396,4.8549,-2.4577,91.357,0.22589,-0.026645,0.052357,0.065448,0.14478,-0.060877,0.5338,3.6381,1.3845,0.68984,52.095,0.057177,-0.050153,-0.010833,0.027739
0.279,-1.1727,-0.06933,0.037916,-2.9162,4.8549,-2.4577,87.514,0.23348,-0.030343,0.053632,0.071643,0.11276,-0.060035,0.54653,3.6381,1.3845,0.68984,49.364,0.066585,-0.052279,-0.0046832,0.029551
0.31,-1.0986,-0.050904,0.10203,-3.2927,4.8549,-2.4577,83.146,0.238,-0.033929,0.056245,0.080245,0.05904,-0.063687,0.56001,3.6381,1.3845,0.68984,47.182,0.075783,-0.054026,0.0024928,0.031543
0.33,-1.0211,-0.0061674,0.1502,-3.65,4.8549,-2.4577,78.151,0.2398,-0.036848,0.060112,0.086314,-0.0050247,-0.071239,0.57277,3.6381,1.3845,0.68984,45.695,0.083208,-0.055491,0.010845,0.033031
0.362,-0.96865,0.066474,0.15841,-4.0074,4.8549,-2.4577,72.49,0.24417,-0.038552,0.0645,0.095411,-0.065233,-0.080543,0.58016,3.6381,1.3845,0.68984,44.921,0.08887,-0.057422,0.019947,0.035065
0.382,-0.97999,0.16058,0.11056,-4.0074,4.7349,-2.4341,66.241,0.2513,-0.038485,0.068158,0.10161,-0.10819,-0.08838,0.57573,3.6381,1.3845,0.68984,44.774,0.094287,-0.059558,0.028324,0.03634
0.408,-1.0937,0.2614,0.003771,-4.0074,4.6149,-2.4105,59.612,0.25494,-0.036334,0.069603,0.10941,-0.12726,-0.091122,0.55411,3.6381,1.3845,0.68984,45.095,0.099515,-0.061264,0.035742,0.03799
0.428,-1.3367,0.34758,-0.14969,-4.0074,4.6149,-2.4105,52.927,0.2505,-0.032011,0.067618,0.11566,-0.1256,-0.086292,0.5141,4.0143,1.5887,1.032,45.681,0.10372,-0.062804,0.04346,0.039213
0.459,-1.7132,0.39541,-0.32483,-4.0074,4.6149,-2.4105,46.566,0.23706,-0.025728,0.061535,0.12437,-0.11714,-0.073065,0.46138,4.3906,1.7928,1.3741,46.324,0.10797,-0.064511,0.051518,0.041621
0.479,-2.1991,0.38389,-0.49013,-4.0074,4.403,-2.718,40.912,0.21219,-0.018711,0.051134,0.12995,-0.12308,-0.053334,0.4089,4.3906,1.7928,1.3741,46.834,0.11341,-0.06584,0.058529,0.042917
0.51,-2.7428,0.30005,-0.61525,-4.0074,4.1911,-3.0254,36.27,0.17151,-0.013251,0.036728,0.13689,-0.16419,-0.030939,0.37522,4.3906,1.7928,1.3741,47.065,0.11819,-0.066246,0.064404,0.045682
0.531,-3.2725,0.14292,-0.67934,-3.0879,3.8103,-3.3182,32.823,0.11428,-0.011274,0.019523,0.14089,-0.25114,-0.010647,0.37989,4.3906,1.7928,1.3741,46.916,0.12022,-0.066007,0.070606,0.047233
0.562,-3.7095,-0.074806,-0.67629,-2.1684,3.4294,-3.611,30.607,0.044948,-0.013712,0.001491,0.14428,-0.37527,0.0036871,0.43773,4.3906,1.7928,1.3741,46.324,0.12034,-0.06554,0.078051,0.050277
0.583,-3.9831,-0.3276,-0.61624,-0.50592,2.595,-4.1815,29.511,-0.032082,-0.021727,-0.015547,0.14535,-0.5043,0.010584,0.55303,4.3906,1.7928,1.3741,45.296,0.11887,-0.064765,0.087359,0.051948
0.613,-4.0434,-0.58171,-0.52239,1.1565,1.7607,-4.752,29.309,-0.11533,-0.036842,-0.030706,0.14686,-0.58391,0.011767,0.71612,4.3906,1.7928,1.3741,43.877,0.11385,-0.063595,0.10043,0.055056
0.634,-3.8712,-0.80047,-0.42422,2.2962,0.91125,-6.2186,29.721,-0.20157,-0.058839,-0.043875,0.14942,-0.54837,0.011857,0.90297,4.3906,1.7928,1.3741,42.159,0.10676,-0.062336,0.11912,0.056958
0.667,-3.4796,-0.94992,-0.34962,3.1464,0.91125,-7.6852,30.419,-0.28178,-0.085064,-0.05514,0.15681,-0.33652,0.01621,1.0793,4.3906,1.7928,1.3741,40.23,0.10446,-0.061202,0.14275,0.061204
0.686,-2.9146,-1.0047,-0.31777,3.1464,0.91125,-8.9605,31.143,-0.34581,-0.11242,-0.064683,0.1622,0.089342,0.02906,1.2075,4.049,1.7928,1.7504,38.215,0.11178,-0.059847,0.16863,0.06348
0.713,-2.2364,-0.95156,-0.33248,3.1464,0.06185,-10.236,31.697,-0.38965,-0.13838,-0.073163,0.17171,0.72721,0.050436,1.2552,3.7074,1.7928,2.1267,36.238,0.12927,-0.057866,0.19425,0.067936
0.732,-1.5128,-0.79149,-0.38246,3.1464,0.029382,-11.466,31.984,-0.41521,-0.16034,-0.081704,0.17903,1.5269,0.07467,1.2031,2.7761,1.7085,2.3298,34.399,0.16006,-0.055452,0.21785,0.071268
0.752,-0.80382,-0.53938,-0.44329,3.1464,0.029382,-13.835,31.988,-0.42543,-0.17649,-0.091214,0.18725,2.3927,0.090985,1.0496,1.8449,1.6241,2.533,32.771,0.20912,-0.053015,0.23814,0.075548
0.772,-0.16108,-0.22119,-0.48591,2.8569,0.029382,-14.973,31.772,-0.42312,-0.18722,-0.10173,0.19572,3.1981,0.084701,0.81166,1.4974,1.4628,2.9141,31.385,0.27409,-0.05044,0.25447,0.080756
