0,-0.21701,-0.059162,0.6516,79.992,-44.746,4.4336,52.184,-0.072668,0.0064687,-0.10088,0,-1.0665,0.065887,-0.33391,-4.9913,-42.431,-2.0392,-17.183,0.083919,-0.038913,-0.0071536,0
0.018,-0.28901,-0.07724,0.82848,14.198,2.2755,4.3421,62.645,-0.086444,0.010627,-0.15349,0.0037367,-1.4964,0.092101,-0.49682,3.3819,0.63771,4.3975,-17.183,0.1346,-0.056781,-0.024426,0.0044761
0.046,-0.3717,-0.092611,0.97506,13.815,2.339,3.9848,71.891,-0.059979,0.012117,-0.16114,0.0091113,-1.8504,0.11716,-0.60709,7.9671,1.5847,4.9368,-17.183,0.1461,-0.057037,-0.048629,0.010685
0.064,-0.47091,-0.1036,1.0822,13.432,2.4025,3.6275,79.395,-0.034139,0.012217,-0.15223,0.013236,-2.0698,0.13853,-0.62627,12.177,2.0628,4.9951,-17.183,0.13467,-0.052844,-0.074321,0.01564
0.1,-0.59533,-0.10915,1.1501,12.877,2.4377,3.117,84.876,-0.028729,0.012674,-0.15379,0.020033,-2.1225,0.15437,-0.5302,16.386,2.5409,5.0535,-17.183,0.1261,-0.054129,-0.098522,0.023508
0.118,-0.75523,-0.10896,1.1874,12.321,2.4729,2.6066,88.312,-0.024988,0.013377,-0.15853,0.024162,-2.0124,0.16385,-0.31686,18.936,3.2318,5.0535,-17.183,0.12391,-0.056062,-0.11938,0.028419
0.148,-0.95925,-0.1034,1.2062,11.938,2.4729,2.3146,89.921,-0.014923,0.013673,-0.1541,0.029973,-1.7794,0.16727,-0.0092305,21.486,3.9227,5.0535,-17.187,0.12157,-0.053845,-0.1331,0.035476
0.165,-1.2107,-0.093347,1.2178,11.554,2.4729,2.0226,90.096,-0.016154,0.013859,-0.14602,0.033905,-1.4892,0.16584,0.3482,22.845,4.5827,5.0535,-17.189,0.121,-0.051224,-0.13639,0.040322
0.201,-1.5044,-0.079902,1.2266,9.7487,2.5827,2.0226,89.328,-0.033953,0.014407,-0.14096,0.040195,-1.2164,0.16132,0.69865,24.205,5.2428,5.0535,-17.193,0.12706,-0.050901,-0.13036,0.048618
0.219,-1.8237,-0.064275,1.2285,7.9431,2.6926,2.0226,88.111,-0.053451,0.015211,-0.13529,0.043816,-1.0249,0.15552,0.98551,26.409,5.3748,4.9834,-17.195,0.13867,-0.050026,-0.11852,0.053599
0.249,-2.1411,-0.047709,1.2112,6.2683,3.0077,2.0226,86.869,-0.072926,0.016196,-0.12705,0.048751,-0.95145,0.14983,1.1652,28.613,5.5068,4.9134,-17.188,0.15208,-0.04748,-0.10202,0.060802
0.266,-2.4205,-0.031529,1.1592,4.5934,3.3228,2.0226,85.914,-0.10697,0.01758,-0.11975,0.051891,-0.99822,0.14508,1.2163,28.613,5.7103,4.7893,-17.171,0.16433,-0.04563,-0.080487,0.065698
0.301,-2.6232,-0.017231,1.0604,2.0285,3.379,2.0619,85.427,-0.15576,0.019306,-0.11371,0.057739,-1.1351,0.14138,1.1437,28.613,5.9138,4.6652,-17.141,0.17239,-0.044625,-0.056758,0.073861
0.32,-2.7148,-0.0064966,0.91241,-0.53634,3.4353,2.1012,85.472,-0.20343,0.021074,-0.10767,0.061259,-1.3106,0.13837,0.97529,28.613,5.9138,4.6652,-17.102,0.17495,-0.042521,-0.036435,0.079035
0.351,-2.6729,-0.0011062,0.72737,-3.4701,3.5898,2.6304,86.022,-0.2454,0.022878,-0.10521,0.068026,-1.4692,0.13546,0.7544,28.613,5.9138,4.6652,-17.066,0.17329,-0.039766,-0.022566,0.086246
0.368,-2.4926,-0.0026347,0.53103,-6.4038,3.7444,3.1596,87.011,-0.28958,0.024796,-0.10925,0.072037,-1.5677,0.13207,0.52827,28.119,5.9138,4.2818,-17.042,0.16756,-0.037859,-0.013964,0.090885
0.404,-2.189,-0.012046,0.35794,-8.533,3.8336,3.661,88.359,-0.334,0.026511,-0.11642,0.082681,-1.5868,0.12789,0.33741,27.625,5.9138,3.8985,-17.047,0.15708,-0.036009,-0.0089653,0.098405
0.422,-1.7951,-0.029265,0.24273,-10.662,3.9228,4.1623,90.002,-0.36656,0.027643,-0.12389,0.088235,-1.5346,0.12291,0.20761,26.841,5.8336,3.8985,-17.095,0.14527,-0.033194,-0.0076112,0.10274
0.452,-1.3564,-0.052931,0.21028,-11.829,4.012,4.6181,91.899,-0.38378,0.028222,-0.13348,0.098794,-1.441,0.1174,0.14677,26.058,5.7534,3.8985,-17.194,0.13762,-0.030515,-0.0095116,0.10863
0.47,-0.92242,-0.080396,0.26796,-12.996,4.1012,5.0738,94.03,-0.39172,0.02831,-0.14459,0.10508,-1.347,0.11175,0.14659,26.058,5.7534,3.8985,-17.34,0.13391,-0.028733,-0.012392,0.11263
0.5,-0.53778,-0.10808,0.40246,-13.372,4.1723,5.4927,96.376,-0.39272,0.027591,-0.15156,0.11634,-1.2906,0.10643,0.18789,26.058,5.7534,3.8985,-17.514,0.12876,-0.026665,-0.013952,0.11807
0.518,-0.23487,-0.13214,0.58242,-13.749,4.2433,5.9116,98.906,-0.38493,0.025815,-0.15127,0.12272,-1.2961,0.10184,0.24756,26.058,5.7534,3.8985,-17.68,0.11952,-0.023696,-0.01356,0.12181
0.554,-0.029159,-0.14922,0.76598,-14.547,4.246,5.9552,101.57,-0.37048,0.023313,-0.14601,0.13597,-1.3682,0.098334,0.30504,26.058,5.7534,3.8985,-17.795,0.10786,-0.020821,-0.011618,0.12736
0.572,0.081207,-0.15724,0.91165,-15.345,4.2487,5.9989,104.27,-0.35377,0.020662,-0.13796,0.14184,-1.4926,0.096204,0.34664,26.841,5.8336,3.8844,-17.801,0.094917,-0.018443,-0.0086032,0.13059
